,date,tmp,angle,angle_std
155,03/10/2018,30.84722222,254.3055556,154.294419
156,04/10/2018,29.12777778,337.5277778,8.607122732
157,05/10/2018,29.21944444,332.0277778,13.86138944
158,06/10/2018,29.06666667,321.4166667,13.22744411
159,07/10/2018,29.16111111,332.7777778,12.13605993
160,08/10/2018,28.19722222,298.25,19.8974803
161,09/10/2018,28.25555556,302.6666667,14.86980535
162,10/10/2018,27.81111111,317.5833333,17.29864317
163,11/10/2018,27.44166667,320.6111111,14.67098001
164,12/10/2018,27.36944444,301.9722222,15.86485653
165,13/10/2018,28.43055556,313.3333333,64.11404769
166,14/10/2018,28.46666667,330.3611111,54.76878307
167,15/10/2018,27.49444444,319.8611111,54.83062444
168,16/10/2018,28.34166667,305.4166667,57.47481332
169,17/10/2018,27.21388889,335.3333333,10.87044924
170,18/10/2018,27.45555556,329.6666667,13.73155328
171,19/10/2018,27.71666667,318.1388889,54.47382286
172,20/10/2018,27.9,326.25,11.42943325
173,21/10/2018,28.34166667,299.7777778,71.25467279
174,22/10/2018,34.60555556,223.0555556,76.59088445
175,23/10/2018,32.54444444,253.1388889,84.79784876
176,24/10/2018,32.04722222,286.6666667,36.58855316
177,25/10/2018,27.71538462,269.5,4.021576423
178,26/10/2018,21.58333333,286.5833333,10.90202581
179,27/10/2018,23.85833333,230.1944444,153.5982891
180,28/10/2018,26.2,78.55555556,13.93126868
181,29/10/2018,28.08055556,87.36111111,14.27731841
182,30/10/2018,29.33888889,168.8888889,122.9588409
183,31/10/2018,29.10277778,299.75,91.94212401
184,01/11/2018,29.24444444,97.08333333,14.41907494
185,02/11/2018,28.96666667,106.1944444,28.67036744
186,03/11/2018,28.04444444,62.44444444,28.89487118
187,04/11/2018,25.35,259.3333333,104.3306709
188,05/11/2018,22.56388889,310.3055556,20.52210115
189,06/11/2018,20.26666667,216.8611111,20.79950958
190,07/11/2018,23.47777778,279.0833333,90.07200052
191,08/11/2018,23.83055556,317.0277778,16.77711091
192,09/11/2018,24.41111111,300.5,74.9546159
193,10/11/2018,21.53611111,226.2222222,114.8250145
194,11/11/2018,23.06111111,299.0555556,24.16257948
195,12/11/2018,23.01111111,275.9166667,104.8820435
196,13/11/2018,22.68333333,298.1388889,88.87355336
197,14/11/2018,21.23888889,282.4166667,24.74017762
198,15/11/2018,20.34444444,252.1944444,11.88093581
199,16/11/2018,19.38611111,245.5,63.2189757
200,17/11/2018,23.075,76.5,135.1853666
201,18/11/2018,24.66944444,203.25,164.0078547
202,19/11/2018,23.96111111,288.2777778,12.87247518
203,20/11/2018,23.83611111,317.2777778,19.45309331
204,21/11/2018,22.66944444,290.7777778,41.81580716
205,22/11/2018,20.51388889,219,94.74644526
206,23/11/2018,18.25,223.0555556,23.73808993
207,24/11/2018,19.00277778,278.2777778,60.12376638
208,25/11/2018,21,279.1944444,22.39273127
209,26/11/2018,21.98611111,122,101.312772
210,27/11/2018,23.73888889,177.9444444,96.49638578
211,28/11/2018,23.94444444,228.5277778,150.7509879
212,29/11/2018,21.30277778,254.9444444,105.6742753
213,30/11/2018,22.10555556,251.1111111,35.89241469
214,01/12/2018,19.60555556,250.8055556,9.091569491
215,02/12/2018,21.46111111,227.5833333,128.8430085
216,03/12/2018,23.04722222,296.6666667,34.45044751
217,04/12/2018,20.15277778,264.8055556,11.80588235
218,05/12/2018,19.88055556,234.9444444,9.763720956
219,06/12/2018,18.24722222,244,8.120618477
