num,name,x,y,date_field
154,אור הנר,34.590797,31.549794,12/6/2018
155,ניר עם,34.576592,31.524703,12/6/2018
156,ארז,34.560242,31.557255,12/6/2018
157,יער שמחוני,34.523759,31.476461,12/6/2018
158,באר מרווה,34.519011,31.448308,12/6/2018
159,יער בארי‎,34.471116,31.436341,12/6/2018
160,סופה,34.333649,31.245682,08/06/2018
161,בארי,34.467716,31.436353,13/6/2018
162,בארי,34.465742,31.436939,13/6/2018
163,ניר עם,34.589248,31.501057,11/6/2018
164,ניר עם‎‎,34.587125,31.504513,13/6/2018
165,ניר עם‎‎,34.580605,31.525233,14/6/2018
166,גבים‎,34.602093,31.504464,14/6/2018
167,ניר עם,34.572172,31.523349,14/6/2018
168,בארי‎,34.48956,31.427089,14/6/2018
169,ניר עם,34.568389,31.506578,14/6/2018
170,מפלסים,34.547796,31.496604,14/6/2018
171,מפלסים,34.548054,31.492652,14/6/2018
172,כפר עזה,34.531059,31.487785,14/6/2018
173,דורות,34.637489,31.505825,14/6/2018
174,יכיני,34.594832,31.484308,14/6/2018
175,יושביה,34.607964,31.449827,14/6/2018
176,ניר עם‎‎,34.555919,31.515527,14/6/2018
177,ניר עם,34.58784,31.511161,15/6/2018
178,גבים‎,34.604187,31.507581,15/6/2018
179,אור הנר‎,34.597042,31.555088,15/6/2018
180,ניר עם,34.563847,31.520898,15/6/2018
181,כיסופים,34.386005,31.377236,16/6/2018
182,כיסופים,34.379997,31.375624,16/6/2018
183,בארי,34.475269,31.424122,16/6/2018
184,ניר עם,34.575036,31.533523,6/6/2018
185,ניר עם,34.575098,31.505904,16/6/2018
186,שדרות,34.587321,31.520459,16/6/2018
187,רוחמה,34.695082,31.49697,06/6/2018
188,רעים‎‎,34.456644,31.388996,16/6/2018
189,רעים,34.455485,31.3883,16/6/2018
190,רעים‎,34.455142,31.387311,16/6/2018
191,עין השלושה‎,34.400253,31.350705,17/6/2018
192,גבים‎,34.578269,31.484601,16/6/2018
193,תל גמה‎‎‎‎,34.447117,31.387128,16/6/2018
194,נחל הבשור ,34.484711,31.321381,06/6/2018
195,מבקיעים,34.571743,31.626344,16/6/2018
196,ארז,34.563074,31.552866,16/6/2018
197,בארי,34.486771,31.433057,17/6/2018
198,ניר עם,34.570384,31.518941,15/6/2018
199,ניר עם‎,34.580197,31.517459,14/6/2018
200,ניר עם,34.565177,31.511496,16/6/2018
201,סעד‎,34.536231,31.466117,17/6/2018
202,כרם שלום,34.276485,31.223371,17/6/2018
203,בארי,34.46836,31.437671,17/6/2018
204,כיסופים,34.389782,31.372033,17/6/2018
205,עין השלושה,34.390297,31.356642,17/6/2018
206,עין השלושה,34.385834,31.355323,17/6/2018
207,יכיני,34.604112,31.476805,18/6/2018
